_id,pin,address,billing_city,current_delq_tax,current_delq_pi,prior_years,prior_delq_tax,prior_delq_pi,state_description,neighborhood,council_district,ward,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
2000401,0015S00023000000,311 MICHIGAN ST,"PITTSBURGH, PA",235.23,0,14,6575.34,5579.55,Residential,Beltzhoover,3,18,4,18,3,4-16,-80.0017971747832,40.41609016670739
2000402,0015R00182000000,MONTOOTH ST,"PITTSBURGH, PA",19.06,0,14,312.5,309.84,Residential,Beltzhoover,3,18,4,18,3,4-16,-80.00555930131631,40.4150819090972
2000403,0034H00301000000,216 FORDYCE ST,"PITTSBURGH, PA",938.5,0,14,14605.84,10629.09,Residential,Bon Air,4,18,4,18,3,4-7,-80.00084948797347,40.409062935467325
2000404,0075L00099000000,ANTRIM ST,"PITTSBURGH, PA",17.16,0,14,291.61,243.21,Residential,Brighton Heights,6,27,1,27,1,1-14,-80.03773574660659,40.4749286588264
2000405,0076A00226000000,3528 BRIGHTON RD,"PITTSBURGH, PA",1629.64,0,14,21811.28,15273.72,Residential,Brighton Heights,1,27,1,27,1,1-14,-80.03109111418006,40.48010522523632
2000406,0075B00288000000,1811 COTTAGE PL,"PITTSBURGH, PA",569.9,0,14,8218.34,5920.09,Residential,Brighton Heights,1,27,1,27,1,1-14,-80.04246135016801,40.48015311083782
2000407,0115B00294000000,OAKDALE ST,"PITTSBURGH, PA",404.07,0,14,5456.96,3839.35,Residential,Brighton Heights,1,26,1,26,1,1-14,-80.02759951258076,40.48930792298363
2000408,0115A00195000000,FLORA ST,"PITTSBURGH, PA",251.59,0,14,3132.2,2048.43,Residential,Brighton Heights,1,27,1,27,1,1-14,-80.03073274956331,40.49048361595283
2000409,8000T04522000000,1800 WHITED ST UNIT 46,"SEWICKLEY, PA",0,0,14,738.64,788.41,Residential,Brookline,4,32,4,32,6,4-25,-79.99848809659971,40.395371349727405
2000410,0061M00253000000,HALLOWELL ST,"PITTSBURGH, PA",221.1,0,14,2745.54,362.71,Residential,Brookline,4,32,4,32,6,4-25,-80.00138073154558,40.39714955019807
2000411,0062G00193000000,PLAINVIEW AVE,"BETHEL PARK, PA",396.45,0,14,4639.06,2838.04,Residential,Brookline,4,19,4,19,6,4-26,-80.02048775192563,40.401409583495095
2000412,0097F00049000000,2832 ARDSLEY AVE,"PITTSBURGH, PA",0,0,14,9527.9,4025.24,Residential,Brookline,4,19,4,19,6,4-26,-80.02490208331487,40.39128484281956
2000413,0062N00166000000,2764 AMMAN ST,"PITTSBURGH, PA",0,0,14,7713.89,617.55,Residential,Brookline,4,19,4,19,6,4-26,-80.03082085200523,40.39617993575269
2000414,0022B00129000000,MARVISTA ST,"STRABANE, PA",213.47,0,14,2682.2,1789.5,Residential,California-Kirkbride,6,21,1,21,1,1-9,-80.02659137814831,40.46140844287028
